training_iteration,number_of_agents_mean,number_of_airports_mean,malfunction_rate_mean,number_of_initial_cargo_mean,dynamic_cargo_generated_mean
500,3.0,4.0,0.0,4.0,2.48
501,3.0,4.0,0.0,4.0,2.5
502,3.0,4.0,0.0,4.0,2.52
503,3.0,4.0,0.0,4.0,2.52
504,3.0,4.0,0.0,4.0,2.53
505,3.0,4.0,0.0,4.0,2.53
506,3.0,4.0,0.0,4.0,2.55
507,3.0,4.0,0.0,4.0,2.59
508,3.0,4.0,0.0,4.0,2.63
509,3.0,4.0,0.0,4.0,2.64
510,3.0,4.0,0.0,4.0,2.65
511,3.0,4.0,0.0,4.0,2.66
512,3.0,4.0,0.0,4.0,2.71
513,3.0,4.0,0.0,4.0,2.72
514,3.0,4.0,0.0,4.0,2.74
515,3.0,4.0,0.0,4.0,2.74
516,3.0,4.0,0.0,4.0,2.77
517,3.0,4.0,0.0,4.0,2.78
518,3.0,4.0,0.0,4.0,2.78
519,3.0,4.0,0.0,4.0,2.79
520,3.0,4.0,0.0,4.0,2.81
521,3.0,4.0,0.0,4.0,2.83
522,3.0,4.0,0.0,4.0,2.86
523,3.0,4.0,0.0,4.0,2.87
524,3.0,4.0,0.0,4.0,2.89
525,3.0,4.0,0.0,4.0,2.89
526,3.0,4.0,0.0,4.0,2.89
527,3.0,4.0,0.0,4.0,2.91
528,3.0,4.0,0.0,4.0,2.91
529,3.0,4.0,0.0,4.0,2.92
530,3.0,4.0,0.0,4.0,2.92
531,3.0,4.0,0.0,4.0,2.95
532,3.0,4.0,0.0,4.0,2.94
533,3.0,4.0,0.0,4.0,2.94
534,3.0,4.0,0.0,4.0,2.94
535,3.0,4.0,0.0,4.0,2.94
536,3.0,4.0,0.0,4.0,2.94
537,3.0,4.0,0.0,4.0,2.94
538,3.0,4.0,0.0,4.0,2.94
539,3.0,4.0,0.0,4.0,2.94
540,3.0,4.0,0.0,4.0,2.94
541,3.0,4.0,0.0,4.0,2.94
542,3.0,4.0,0.0,4.0,2.94
543,3.0,4.0,0.0,4.0,2.94
544,3.0,4.0,0.0,4.0,2.94
545,3.0,4.0,0.0,4.0,2.94
546,3.0,4.0,0.0,4.0,2.94
547,3.0,4.0,0.0,4.0,2.94
548,3.0,4.0,0.0,4.0,2.94
549,3.0,4.0,0.0,4.0,2.94
550,3.0,4.0,0.0,4.0,2.94
551,3.0,4.0,0.0,4.0,2.93
552,3.0,4.0,0.0,4.0,2.94
553,3.0,4.0,0.0,4.01,2.94
554,3.0,4.0,0.0,4.01,2.94
555,3.0,4.0,0.0,4.02,2.94
556,3.0,4.0,0.0,4.03,2.94
557,3.0,4.0,0.0,4.05,2.91
558,3.0,4.0,0.0,4.05,2.92
559,3.0,4.0,0.0,4.07,2.92
560,3.0,4.0,0.0,4.08,2.92
561,3.0,4.0,0.0,4.08,2.92
562,3.0,4.0,0.0,4.1,2.92
563,3.0,4.0,0.0,4.12,2.92
564,3.0,4.0,0.0,4.16,2.92
565,3.0,4.0,0.0,4.17,2.92
566,3.0,4.0,0.0,4.17,2.92
567,3.0,4.0,0.0,4.19,2.92
568,3.0,4.0,0.0,4.2,2.92
569,3.0,4.0,0.0,4.23,2.92
570,3.0,4.0,0.0,4.23,2.92
571,3.0,4.0,0.0,4.27,2.93
572,3.0,4.0,0.0,4.27,2.93
573,3.0,4.0,0.0,4.29,2.93
574,3.0,4.0,0.0,4.34,2.93
575,3.0,4.0,0.0,4.36,2.93
576,3.0,4.0,0.0,4.4,2.93
577,3.0,4.0,0.0,4.42,2.93
578,3.0,4.0,0.0,4.43,2.93
579,3.0,4.0,0.0,4.44,2.94
580,3.0,4.0,0.0,4.45,2.94
581,3.0,4.0,0.0,4.48,2.94
582,3.0,4.0,0.0,4.49,2.94
583,3.0,4.0,0.0,4.5,2.94
584,3.0,4.0,0.0,4.53,2.95
585,3.0,4.0,0.0,4.56,2.96
586,3.0,4.0,0.0,4.61,2.96
587,3.0,4.0,0.0,4.62,2.96
588,3.0,4.0,0.0,4.64,2.96
589,3.0,4.0,0.0,4.69,2.95
590,3.0,4.0,0.0,4.69,2.95
591,3.0,4.0,0.0,4.7,2.95
592,3.0,4.0,0.0,4.72,2.95
593,3.0,4.0,0.0,4.75,2.95
594,3.0,4.0,0.0,4.78,2.95
595,3.0,4.0,0.0,4.8,2.95
596,3.0,4.0,0.0,4.83,2.95
597,3.0,4.0,0.0,4.83,2.95
598,3.0,4.0,0.0,4.87,2.96
599,3.0,4.0,0.0,4.87,2.96
600,3.0,4.0,0.0,4.91,2.96
601,3.0,4.0,0.0,4.91,2.96
602,3.0,4.0,0.0,4.92,2.96
603,3.0,4.0,0.0,4.93,2.96
604,3.0,4.0,0.0,4.94,2.99
605,3.0,4.0,0.0,4.94,2.99
606,3.0,4.0,0.0,4.94,2.99
607,3.0,4.0,0.0,4.95,2.99
608,3.0,4.0,0.0,4.98,2.99
609,3.0,4.0,0.0,5.0,2.99
610,3.0,4.0,0.0,5.0,2.99
611,3.0,4.0,0.0,5.0,2.99
612,3.0,4.0,0.0,5.0,2.99
613,3.0,4.0,0.0,5.0,2.98
614,3.0,4.0,0.0,5.0,2.98
615,3.0,4.0,0.0,5.0,2.98
616,3.0,4.0,0.0,5.0,2.98
617,3.0,4.0,0.0,5.0,2.98
618,3.0,4.0,0.0,5.0,2.98
619,3.0,4.0,0.0,5.0,2.98
620,3.0,4.0,0.0,5.0,2.98
621,3.0,4.0,0.0,5.0,2.98
